controller,time_s,tilt_rad,tilt_deg,tilt_rate_rad_s,tilt_rate_deg_s,x_m,x_dot_m_s,command_accel_m_s2,command_motor_rpm,target_tilt_deg,kp,ki,kd,expert_balance,expert_recovery,expert_drift
PID normal,0.3300000000000002,-0.02894694135434433,-1.6585375694166373,-0.6495639873382031,-37.21727499816828,0.06521373467927627,0.28071288201200034,-0.355911895248354,-9.996200723643598,-6.301847105398036,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3350000000000002,-0.03218515803682692,-1.8440737184717448,-0.6459759991258808,-37.01169841665953,0.06661267513043234,0.2788633755132008,-0.39679758076351734,-11.144522891544591,-6.279185593656351,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3400000000000002,-0.03540436246012265,-2.0285205453164363,-0.6419577513590217,-36.78146977858063,0.06800185817645732,0.27680992845708197,-0.43745045623218326,-12.28630631773355,-6.252333724828645,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3450000000000002,-0.038602410749233936,-2.2117552149615465,-0.6375120486805613,-36.52674977813485,0.0693802671518999,0.2745537557271489,-0.47784468463245444,-13.420825339313463,-6.2213053764939055,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3500000000000002,-0.04177717370318023,-2.3936557331771553,-0.632641956860289,-36.24771407099206,0.07074689178790297,0.27209620107218646,-0.5179545871228345,-14.547358736068386,-6.186117076403563,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3550000000000002,-0.04492653809094059,-2.5741010207446267,-0.6273507989994838,-35.94455305683045,0.0721007288544723,0.26943873628324383,-0.5577546542882754,-15.665190046321806,-6.146787992601003,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3600000000000002,-0.04804840792806253,-2.7529709866009076,-0.6216421515930007,-35.617471653710666,0.07344078279849026,0.26658296031460155,-0.5972195570813489,-16.77360787423218,-6.1033399223738485,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3650000000000002,-0.051140705733284636,-2.9301465998377014,-0.6155198404729745,-35.26668906566715,0.07476606637719803,0.26353059835025944,-0.6363241574974983,-17.871906189619867,-6.055797280067007,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3700000000000002,-0.05420137376463876,-3.1055099605249072,-0.6089879366572507,-34.89243854484078,0.07607560128687757,0.26028350081728796,-0.6750435190234778,-18.959384621423713,-6.004187083780638,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3750000000000002,-0.05722837523461019,-3.2789443693341664,-0.6020507521245353,-34.49496714941275,0.07736841878647018,0.2568436423471909,-0.7133529168979704,-20.035348745882473,-5.948538940973343,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.3800000000000002,-0.060219695504041396,-3.4503343959445107,-0.5947128355370687,-34.07453549853187,0.07864356031587438,0.25321312068623086,-0.7512278482230846,-21.099110370528003,-5.888885032987009,13.5,0.25,2.25,1.0,0.0,0.0
